ondevice,title,authors,#kobo_percent_read,#kobo_last_read,timestamp,languages,series,size,rating,tags,publisher,pubdate,last_modified,id,formats,path,#kobo_reading_location,#kobo_time_spent_reading,#kobo_rest_of_book_estimate
,The Millionaire Fastlane,MJ DeMarco,,,2022-01-29 12:41:34+00:00,eng,,3319655,,,Viperion Publishing Corp.,0101-01-01 00:00:00+00:00,2026-04-15 15:22:58+00:00,399,EPUB | MOBI,MJ DeMarco/The Millionaire Fastlane (399),,,
,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,,,2022-01-29 12:41:34+00:00,eng,,2314937,,,Penguin Books Ltd,2018-01-16 06:00:00+00:00,2026-04-15 15:22:58+00:00,400,EPUB | MOBI,Jordan B. Peterson/12 Rules for Life_ An Antidote to C (400),,,
,L'ickabog,J.K. Rowling,,,2022-01-29 12:45:49+00:00,spa,,11536586,,,Salamandra infantil y juvenil,2020-10-13 22:00:00+00:00,2026-04-15 15:22:58+00:00,401,EPUB | MOBI,J.K. Rowling/L'ickabog (401),,,
,Children of the Fleet (Fleet School),Orson Scott Card,100,2022-02-13 00:00:00+00:00,2022-02-06 11:20:05+00:00,eng,,795488,8,,Tom Doherty Associates,2017-10-09 22:00:00+00:00,2026-04-15 15:32:59+00:00,402,AZW3 | KEPUB,Orson Scott Card/Children of the Fleet (Fleet School (402),,,
,El camino del acero (Spanish Edition),Andrés Díaz Sánchez,100,2021-04-04 00:00:00+00:00,2022-02-13 15:23:44+00:00,spa,,849283,10,,,2018-05-19 22:00:00+00:00,2026-04-15 15:33:17+00:00,403,AZW3 | KEPUB,Andres Diaz Sanchez/El camino del acero (Spanish Editio (403),,,
,Shadow of the Hegemon (The Shadow Saga Book 2),Orson Scott Card,100,2022-02-17 00:00:00+00:00,2022-02-14 18:31:31+00:00,eng,Shadow saga,875952,8,,Tom Doherty Associates,2009-11-29 23:00:00+00:00,2026-04-15 15:33:01+00:00,404,AZW3 | KEPUB,Orson Scott Card/Shadow of the Hegemon (The Shadow S (404),,,
,La Marca del Guerrero (Spanish Edition),Rocío Cuervo,100,2022-12-04 00:00:00+00:00,2022-02-17 20:50:59+00:00,spa,Cronicas Aivanek,1089550,10,,Alberto Santos Editor,2015-11-14 23:00:00+00:00,2026-04-15 15:33:03+00:00,405,AZW3 | KEPUB,Rocio Cuervo/La Marca del Guerrero (Spanish Edit (405),,,
,Los Viajes de Taisham (Crónicas Aivanek nº 1) (Spanish Edition),Rocío Cuervo,100,2022-12-07 00:00:00+00:00,2022-02-17 20:51:24+00:00,spa,Cronicas Aivanek,1322320,8,,"Alberto Santos, Editor",2016-01-14 23:00:00+00:00,2026-04-15 15:33:07+00:00,406,AZW3 | KEPUB,Rocio Cuervo/Los Viajes de Taisham (Cronicas Aiv (406),,,
,El linaje perdido (Crónicas Aivanek nº 2) (Spanish Edition),Rocío Cuervo,100,2022-12-09 00:00:00+00:00,2022-02-17 20:52:10+00:00,spa,Cronicas Aivanek,1931520,10,,Alberto Santos,2020-04-16 22:00:00+00:00,2026-04-15 15:33:07+00:00,407,AZW3 | KEPUB,Rocio Cuervo/El linaje perdido (Cronicas Aivanek (407),,,
,El imperio Aivanek (Crónicas Aivanek nº 3) (Spanish Edition),Rocío Cuervo,100,2022-12-15 00:00:00+00:00,2022-02-17 20:52:32+00:00,spa,Cronicas Aivanek,2060380,10,,Alberto Santos,2020-04-16 22:00:00+00:00,2026-04-15 15:33:10+00:00,408,AZW3 | KEPUB,Rocio Cuervo/El imperio Aivanek (Cronicas Aivane (408),,,
,Shadow Puppets (The Shadow Saga Book 3),Orson Scott Card,100,2022-02-23 00:00:00+00:00,2022-02-17 20:53:30+00:00,eng,Shadow saga,839200,8,,Tom Doherty Associates,2003-06-15 22:00:00+00:00,2026-04-15 15:33:10+00:00,409,AZW3 | KEPUB,Orson Scott Card/Shadow Puppets (The Shadow Saga Boo (409),,,
,Shadow of the Giant (The Shadow Saga Book 4),Orson Scott Card,100,2022-03-06 00:00:00+00:00,2022-02-17 20:53:31+00:00,eng,Shadow saga,847004,8,,Tom Doherty Associates,2009-11-29 23:00:00+00:00,2026-04-15 15:33:12+00:00,410,AZW3 | KEPUB,Orson Scott Card/Shadow of the Giant (The Shadow Sag (410),,,
,Shadows in Flight: 5 (The Shadow Series),Orson Scott Card,100,2022-03-14 00:00:00+00:00,2022-03-13 17:56:22+00:00,eng,Shadow saga,2180000,8,,Tom Doherty Associates,2012-01-16 23:00:00+00:00,2026-04-15 15:33:11+00:00,411,AZW3 | KEPUB,Orson Scott Card/Shadows in Flight_ 5 (The Shadow Se (411),,,
,First Meetings: In The Enderverse (The Ender Quartet series),Orson Scott Card,100,2022-03-16 00:00:00+00:00,2022-03-15 12:33:21+00:00,eng,,281380,8,,"Little, Brown Book Group",2012-12-19 23:00:00+00:00,2026-04-15 15:33:12+00:00,412,AZW3 | KEPUB,Orson Scott Card/First Meetings_ In The Enderverse ( (412),,,
,The Last Shadow,Orson Scott Card,100,2022-04-13 00:00:00+00:00,2022-04-10 09:28:54+00:00,eng,Ender saga,1036185,8,,Tor,2021-11-15 21:00:00+00:00,2026-04-15 15:22:58+00:00,413,EPUB | MOBI,Orson Scott Card/The Last Shadow (413),,,
,Eragon,Christopher Paolini,100,2005-11-09 00:00:00+00:00,2022-04-10 09:38:59+00:00,cat,El Llegat,2277467,,,Roca Editorial,2011-12-31 23:00:00+00:00,2026-04-15 15:22:58+00:00,414,EPUB | MOBI,Christopher Paolini/Eragon (414),,,
,El bosque oscuro (Trilogía de los Tres Cuerpos 2),Cixin Liu,100,2022-07-18 00:00:00+00:00,2022-04-10 09:40:28+00:00,spa,Trilogia de los Tres Cuerpos,3008076,10,,B DE BOOKS,2017-08-28 22:00:00+00:00,2026-04-15 15:22:58+00:00,415,EPUB | MOBI,Cixin Liu/El bosque oscuro (Trilogia de los T (415),,,
,El Príncep de la Boira,Carlos Ruiz Zafón,100,2007-01-11 00:00:00+00:00,2022-04-10 09:42:44+00:00,cat,,827610,8,,Columna CAT,2010-09-09 22:00:00+00:00,2026-04-15 15:22:58+00:00,416,EPUB | MOBI,Carlos Ruiz Zafon/El Princep de la Boira (416),,,
,Just Keep Buying,Nick Maggiulli,100,2022-04-16 00:00:00+00:00,2022-04-12 06:47:08+00:00,eng,,5864908,10,,Harriman House,2022-04-11 22:00:00+00:00,2026-04-15 15:33:15+00:00,417,AZW3 | KEPUB,Nick Maggiulli/Just Keep Buying (417),,,
,Mai,Ken Follett,,,2022-05-10 18:55:20+00:00,cat,,2266902,,,Rosa dels Vents,2021-09-26 19:20:31+00:00,2026-04-15 15:22:58+00:00,418,EPUB | MOBI,Ken Follett/Mai (418),,,
,El fin de la muerte (Trilogía de los Tres Cuerpos 3),Cixin Liu,100,2022-08-08 00:00:00+00:00,2022-05-10 19:02:18+00:00,spa,Trilogia de los Tres Cuerpos,12005164,10,,Nova,2018-02-07 23:00:00+00:00,2026-04-15 15:22:58+00:00,419,EPUB | MOBI,Cixin Liu/El fin de la muerte (Trilogia de lo (419),,,
